Name,Pricing
"Mi A2 (Black, 64 GB)","₹10,599"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999"
"Redmi 8 (Ruby Red, 64 GB)","₹9,499"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999"
"Redmi Note 8 (Cosmic Purple, 128 GB)","₹15,890"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999"
"Redmi Note 7S (Onyx Black, 64 GB)","₹11,999"
"Redmi Note 6 Pro (Black, 64 GB)","₹11,999"
"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999"
"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹13,999"
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999"
"Redmi Note 6 Pro (Red, 64 GB)","₹11,999"
"Redmi Note 8 (Neptune Blue, 128 GB)","₹15,799"
"Redmi Note 8 (Space Black, 128 GB)","₹14,999"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999"
"Mi A3 (More Than White, 128 GB)","₹14,999"
"Redmi Note 5 Pro (Gold, 64 GB)","₹12,999"
"Mi A3 (More Than White, 64 GB)","₹12,999"
"Mi A3 (Not just Blue, 64 GB)","₹12,999"
"Redmi Note 5 (Black, 64 GB)","₹11,999"
"Mi A3 (Not just Blue, 128 GB)","₹14,999"
"Mi A3 (Kind of Grey, 64 GB)","₹12,999"
"Redmi K20 Pro (Flame Red, 128 GB)","₹26,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹12,999"
"Redmi Note 3 (Gold, 32 GB)","₹11,999"
"Redmi K20 (Flame Red, 128 GB)","₹24,999"
"Redmi Note 5 Pro (Gold, 64 GB)","₹13,999"
"Mi Mix 2 (Black, 128 GB)","₹29,999"
"Mi A2 (Lake Blue, 128 GB)","₹16,899"
"Redmi K20 (Carbon Black, 128 GB)","₹24,999"
"Redmi Note 5 (Rose Gold, 32 GB)","₹10,999"
"Redmi 7 (Lunar Red, 32 GB)","₹7,999"
"Mi 4i (Yellow, 16 GB)","₹12,999"
"Redmi K20 (Pearl White, 128 GB)","₹24,999"
"Redmi K20 (Glacier Blue, 64 GB)","₹21,999"
"MI3 (Metallic Grey, 16 GB)","₹13,999"
"Redmi K20 (Pearl White, 64 GB)","₹21,999"
"Redmi 7 (Comet Blue, 32 GB)","₹7,995"
"Mi A2 (Gold, 128 GB)","₹16,899"
"Redmi Note 8 (Moonlight White, 64 GB)","₹12,999"
"Redmi Note 8 (Neptune Blue, 64 GB)","₹12,993"
"Redmi Y2 (Dark Grey, 64 GB)","₹11,500"
"Redmi Y3 (Prime Black, 64 GB)","₹12,999"
"Redmi Y3 (Elegant Blue, 64 GB)","₹12,999"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,298"
"Redmi Go (Blue, 16 GB)","₹6,500"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999"
"Mi A2 (Red, 64 GB)","₹10,599"
